Date,CDS,Mastery,Engagement
Tue, Mar 10,0,0,0
Wed, Mar 11,0,0,0
Thu, Mar 12,0,0,0
Fri, Mar 13,0,0,0
Sat, Mar 14,0,0,0
Sun, Mar 15,0,0,0
Mon, Mar 16,0,0,0
Tue, Mar 17,0,0,0
Wed, Mar 18,0,0,0
Thu, Mar 19,0,0,0
Fri, Mar 20,0,0,0
Sat, Mar 21,0,0,0
Sun, Mar 22,0,0,0
Mon, Mar 23,0,0,0
Tue, Mar 24,0,0,0
Wed, Mar 25,0,0,0
Thu, Mar 26,0,0,0
Fri, Mar 27,0,0,0
Sat, Mar 28,0,0,0
Sun, Mar 29,0,0,0
Mon, Mar 30,0,0,0
Tue, Mar 31,0,0,0
Wed, Apr 1,0,0,0
Thu, Apr 2,0,0,0
Fri, Apr 3,0,0,0
Sat, Apr 4,0,0,0
Sun, Apr 5,0,0,0
Mon, Apr 6,0,0,0
Tue, Apr 7,0,0,0
Wed, Apr 8,0,0,0
Thu, Apr 9,0,0,0
Fri, Apr 10,0,0,0
Sat, Apr 11,0,0,0
Sun, Apr 12,0,0,0
Mon, Apr 13,0,0,0
Tue, Apr 14,0,0,0
Wed, Apr 15,0,0,0
Thu, Apr 16,0,0,0
Fri, Apr 17,0,0,0
Sat, Apr 18,0,0,0
Sun, Apr 19,0,0,0
Mon, Apr 20,0,0,0
Tue, Apr 21,0,0,0
Wed, Apr 22,0,0,0
Thu, Apr 23,0,0,0
Fri, Apr 24,0,0,0
Sat, Apr 25,0,0,0
Sun, Apr 26,0,0,0
Mon, Apr 27,0,0,0
Tue, Apr 28,0,0,0
Wed, Apr 29,0,0,0
Thu, Apr 30,0,0,0
Fri, May 1,0,0,0
Sat, May 2,0,0,0
Sun, May 3,0,0,0
Mon, May 4,0,0,0
Tue, May 5,0,0,0
Wed, May 6,0,0,0
Thu, May 7,0,0,0
Fri, May 8,0,0,0
Sat, May 9,0,0,0
Sun, May 10,0,0,0
Mon, May 11,0,0,0
Tue, May 12,0,0,0
Wed, May 13,0,0,0
Thu, May 14,0,0,0
Fri, May 15,0,0,0
Sat, May 16,0,0,0
Sun, May 17,0,0,0
Mon, May 18,0,0,0
Tue, May 19,0,0,0
Wed, May 20,0,0,0
Thu, May 21,0,0,0
Fri, May 22,0,0,0
Sat, May 23,0,0,0
Sun, May 24,0,0,0
Mon, May 25,0,0,0
Tue, May 26,0,0,0
Wed, May 27,0,0,0
Thu, May 28,0,0,0
Fri, May 29,0,0,0
Sat, May 30,0,0,0
Sun, May 31,0,0,0
Mon, Jun 1,0,0,0
Tue, Jun 2,0,0,0
Wed, Jun 3,0,0,16
Thu, Jun 4,0,0,0
Fri, Jun 5,0,0,0
Sat, Jun 6,0,0,0
Sun, Jun 7,0,0,0
Mon, Jun 8,0.5309666666666667,47,1
